epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5514.14,1.23825,1.05097,0.00835,0.76147,0.76877,0.80344,0.53713,1.23002,1.07281,0.00871,0.000990365,0.000990365,0.000990365
43,5646.61,1.25425,1.02555,0.00864,0.76961,0.74374,0.80072,0.53932,1.19146,1.09428,0.00823,0.000973861,0.000973861,0.000973861
44,5777.23,1.22099,1.03089,0.00812,0.78275,0.7364,0.78656,0.5173,1.18469,1.14176,0.00872,0.000957358,0.000957358,0.000957358
45,5908.8,1.22955,0.99904,0.00827,0.76103,0.75114,0.79321,0.5312,1.20044,1.13592,0.00851,0.000940855,0.000940855,0.000940855
46,6041.99,1.22713,0.99411,0.00816,0.78719,0.73309,0.80319,0.54349,1.19814,1.13316,0.00859,0.000924352,0.000924352,0.000924352
47,6176.34,1.20155,1.00144,0.00813,0.76679,0.75023,0.81069,0.5541,1.19691,1.15454,0.00853,0.000907848,0.000907848,0.000907848
48,6309.88,1.18024,0.96768,0.00783,0.78605,0.75988,0.81426,0.55231,1.22947,1.12053,0.00899,0.000891345,0.000891345,0.000891345
49,6442.83,1.1978,0.93973,0.0079,0.82552,0.73657,0.8238,0.56056,1.20475,1.06406,0.00827,0.000874842,0.000874842,0.000874842
50,6576.54,1.19072,0.9362,0.00788,0.79162,0.74316,0.81865,0.55382,1.21328,1.10936,0.00859,0.000858338,0.000858338,0.000858338
51,6710.24,1.18797,0.93126,0.00769,0.80108,0.77773,0.83871,0.57353,1.18182,1.06942,0.00803,0.000841835,0.000841835,0.000841835
52,6842.9,1.16437,0.89874,0.00757,0.79679,0.77577,0.83017,0.57853,1.15456,1.06849,0.00804,0.000825332,0.000825332,0.000825332
53,6974,1.16648,0.92909,0.0079,0.79837,0.76296,0.82196,0.55602,1.16275,1.01941,0.00798,0.000808828,0.000808828,0.000808828
54,7108.14,1.15794,0.92911,0.00762,0.81857,0.75211,0.83002,0.56179,1.1981,1.02525,0.00817,0.000792325,0.000792325,0.000792325
55,7242.5,1.15852,0.91044,0.0073,0.79139,0.74686,0.81807,0.55524,1.19027,1.08737,0.00831,0.000775822,0.000775822,0.000775822
56,7376.26,1.16353,0.87374,0.00733,0.78448,0.78073,0.83305,0.56379,1.18687,1.06069,0.00828,0.000759318,0.000759318,0.000759318
57,7509.7,1.14287,0.85094,0.00739,0.80182,0.75959,0.83536,0.57345,1.16878,1.14327,0.0078,0.000742815,0.000742815,0.000742815
58,7644.33,1.15663,0.86456,0.00762,0.7898,0.7782,0.83469,0.57688,1.15113,1.07702,0.00773,0.000726312,0.000726312,0.000726312
59,7778.13,1.12,0.84086,0.00741,0.81606,0.75375,0.84216,0.58823,1.13915,1.03358,0.0076,0.000709809,0.000709809,0.000709809
