epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1494.51,1.21393,0.87283,0.00754,0.80224,0.77081,0.82893,0.56572,1.22205,1.30716,0.00854,0.000990365,0.000990365,0.000990365
43,1528.91,1.19025,0.86848,0.00745,0.84029,0.75865,0.84553,0.58741,1.21043,0.99749,0.00865,0.000973861,0.000973861,0.000973861
44,1564.01,1.19272,0.86239,0.00717,0.80597,0.7949,0.85261,0.59741,1.21403,0.94634,0.00842,0.000957358,0.000957358,0.000957358
45,1597.68,1.18632,0.84357,0.00726,0.84929,0.74798,0.84417,0.58643,1.19983,1.04238,0.00842,0.000940855,0.000940855,0.000940855
46,1631.7,1.2003,0.85173,0.00705,0.83168,0.77227,0.84394,0.57859,1.22615,0.98698,0.00848,0.000924352,0.000924352,0.000924352
47,1665.49,1.18372,0.85031,0.00747,0.80369,0.7775,0.83305,0.58522,1.17745,1.02681,0.00796,0.000907848,0.000907848,0.000907848
48,1699.56,1.17653,0.83548,0.00703,0.82624,0.77669,0.85006,0.59096,1.20341,0.96125,0.00819,0.000891345,0.000891345,0.000891345
49,1733.48,1.18212,0.86579,0.00723,0.82673,0.73301,0.82796,0.58381,1.20856,1.05135,0.00848,0.000874842,0.000874842,0.000874842
50,1767.58,1.15315,0.83389,0.00714,0.83492,0.77536,0.84895,0.5943,1.23826,0.97255,0.00908,0.000858338,0.000858338,0.000858338
51,1801.97,1.18133,0.79822,0.00707,0.79126,0.81459,0.85725,0.60665,1.14629,1.02855,0.0076,0.000841835,0.000841835,0.000841835
52,1836.16,1.16,0.79965,0.00701,0.86413,0.77044,0.86409,0.60181,1.17674,1.01103,0.00812,0.000825332,0.000825332,0.000825332
53,1870.09,1.15488,0.80538,0.00716,0.84374,0.78317,0.85939,0.60842,1.17397,1.08249,0.00795,0.000808828,0.000808828,0.000808828
54,1904.4,1.16265,0.81569,0.00693,0.85365,0.76184,0.85603,0.60448,1.19784,0.96644,0.00827,0.000792325,0.000792325,0.000792325
55,1938.85,1.15715,0.78166,0.00693,0.8292,0.79233,0.8542,0.611,1.15053,0.98796,0.00772,0.000775822,0.000775822,0.000775822
56,1973.62,1.14489,0.78228,0.00682,0.8335,0.77793,0.85496,0.59991,1.20336,0.99349,0.0085,0.000759318,0.000759318,0.000759318
57,2007.74,1.1342,0.74875,0.0067,0.82739,0.79224,0.85785,0.6147,1.13034,1.01589,0.00761,0.000742815,0.000742815,0.000742815
58,2042.61,1.12325,0.76885,0.00705,0.83092,0.78837,0.85329,0.62368,1.14098,1.08262,0.00772,0.000726312,0.000726312,0.000726312
59,2077.99,1.14295,0.75461,0.00702,0.83246,0.78448,0.86297,0.61659,1.17646,1.00185,0.0079,0.000709809,0.000709809,0.000709809
60,2113.69,1.10308,0.74382,0.00664,0.82822,0.79189,0.8614,0.61611,1.15864,0.88942,0.00779,0.000693305,0.000693305,0.000693305
61,2149.11,1.12969,0.73908,0.00655,0.85047,0.77194,0.85815,0.60939,1.15575,1.0347,0.00781,0.000676802,0.000676802,0.000676802
62,2183.71,1.1046,0.71555,0.00667,0.84202,0.76409,0.84667,0.60511,1.13487,1.11036,0.0079,0.000660299,0.000660299,0.000660299
63,2218.01,1.11979,0.7236,0.00655,0.83728,0.78448,0.85748,0.61769,1.14749,1.05398,0.0078,0.000643795,0.000643795,0.000643795
64,2251.79,1.10934,0.71902,0.00665,0.83238,0.80992,0.8551,0.62144,1.16461,0.91798,0.00794,0.000627292,0.000627292,0.000627292
65,2285.39,1.11288,0.73867,0.0068,0.82462,0.80313,0.8623,0.61971,1.16525,1.01439,0.00785,0.000610789,0.000610789,0.000610789
66,2318.9,1.09865,0.71551,0.00654,0.8446,0.7724,0.85992,0.6216,1.14146,1.01901,0.00749,0.000594286,0.000594286,0.000594286
67,2353.19,1.07886,0.70737,0.00627,0.85077,0.79367,0.86661,0.63297,1.143,1.00761,0.00756,0.000577782,0.000577782,0.000577782
68,2387.99,1.08231,0.71361,0.00648,0.8285,0.80152,0.86678,0.62698,1.15911,1.0404,0.0078,0.000561279,0.000561279,0.000561279
69,2422.69,1.08059,0.70507,0.00639,0.84217,0.79469,0.87318,0.63314,1.14684,1.04561,0.00771,0.000544776,0.000544776,0.000544776
70,2457.13,1.0946,0.68173,0.0063,0.86301,0.77885,0.86209,0.62438,1.14901,1.11159,0.00761,0.000528272,0.000528272,0.000528272
71,2491.41,1.06402,0.67152,0.00628,0.83265,0.79607,0.86438,0.62495,1.16116,1.09458,0.00779,0.000511769,0.000511769,0.000511769
72,2526.02,1.06479,0.66678,0.00609,0.84701,0.76979,0.85929,0.62675,1.13277,1.00548,0.00732,0.000495266,0.000495266,0.000495266
73,2560.38,1.07215,0.68791,0.00634,0.8759,0.77239,0.87083,0.63527,1.13708,1.05043,0.00761,0.000478762,0.000478762,0.000478762
74,2595.62,1.06452,0.65867,0.00598,0.8436,0.80525,0.87429,0.64588,1.13768,0.98032,0.00775,0.000462259,0.000462259,0.000462259
75,2629.54,1.05961,0.67034,0.00624,0.84138,0.82487,0.87075,0.64167,1.13118,0.99782,0.00766,0.000445756,0.000445756,0.000445756
76,2663.33,1.07793,0.66607,0.00611,0.85198,0.80397,0.872,0.64267,1.1542,1.07954,0.00786,0.000429253,0.000429253,0.000429253
77,2697.02,1.04962,0.64643,0.00612,0.84017,0.81151,0.87656,0.64663,1.11698,1.06296,0.00728,0.000412749,0.000412749,0.000412749
78,2730.65,1.04045,0.63452,0.00594,0.85256,0.81853,0.87741,0.64492,1.11772,1.00266,0.00739,0.000396246,0.000396246,0.000396246
79,2764.56,1.03875,0.64342,0.0059,0.8552,0.7982,0.87358,0.64655,1.12924,0.93324,0.00745,0.000379743,0.000379743,0.000379743
