epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2278.72,1.17448,0.85002,0.00748,0.78482,0.769,0.81661,0.57061,1.18601,1.13791,0.0083,0.000990365,0.000990365,0.000990365
43,2333.56,1.14882,0.83472,0.0074,0.80343,0.78025,0.83589,0.58441,1.16062,1.09439,0.00807,0.000973861,0.000973861,0.000973861
44,2386.04,1.15884,0.8116,0.00715,0.81923,0.76209,0.83764,0.58883,1.18695,1.08737,0.00843,0.000957358,0.000957358,0.000957358
45,2440.67,1.15737,0.82223,0.00726,0.8185,0.75322,0.83048,0.57972,1.16517,1.18412,0.008,0.000940855,0.000940855,0.000940855
46,2495.32,1.16502,0.8231,0.00707,0.82506,0.77119,0.84642,0.57883,1.22662,1.10763,0.00895,0.000924352,0.000924352,0.000924352
47,2547.74,1.1554,0.82511,0.00743,0.856,0.77632,0.85483,0.5986,1.18824,1.04299,0.00856,0.000907848,0.000907848,0.000907848
48,2601.79,1.15036,0.7864,0.00704,0.82165,0.7899,0.84885,0.59754,1.17273,0.98489,0.00842,0.000891345,0.000891345,0.000891345
49,2654.62,1.1598,0.81539,0.00726,0.80608,0.75734,0.83398,0.58595,1.16562,1.14758,0.00828,0.000874842,0.000874842,0.000874842
50,2709.12,1.11367,0.78522,0.00697,0.82764,0.75742,0.83043,0.5742,1.19473,1.08471,0.00843,0.000858338,0.000858338,0.000858338
51,2763.63,1.12794,0.75664,0.00688,0.81964,0.74408,0.82979,0.58482,1.14573,1.28088,0.00794,0.000841835,0.000841835,0.000841835
52,2816.25,1.12576,0.77274,0.00698,0.82862,0.76296,0.84828,0.5943,1.14524,1.15677,0.00822,0.000825332,0.000825332,0.000825332
53,2870.15,1.10634,0.76218,0.00692,0.81025,0.77825,0.84324,0.60062,1.12467,1.11481,0.00769,0.000808828,0.000808828,0.000808828
54,2923.14,1.13475,0.75758,0.00685,0.82372,0.79402,0.85557,0.60712,1.14734,0.9607,0.00819,0.000792325,0.000792325,0.000792325
55,2977.85,1.12207,0.74114,0.00683,0.78389,0.80318,0.83787,0.60553,1.19192,1.13779,0.00848,0.000775822,0.000775822,0.000775822
56,3030.22,1.10179,0.72885,0.00671,0.83491,0.80131,0.86811,0.61405,1.15322,1.04684,0.0079,0.000759318,0.000759318,0.000759318
57,3084.02,1.09507,0.69942,0.00658,0.81758,0.77568,0.85408,0.61244,1.16904,1.05981,0.00813,0.000742815,0.000742815,0.000742815
58,3136.49,1.07685,0.72485,0.00685,0.82438,0.80356,0.86094,0.62133,1.13569,1.06855,0.00764,0.000726312,0.000726312,0.000726312
59,3190.19,1.09345,0.71912,0.00676,0.80841,0.80993,0.84684,0.59975,1.17354,1.115,0.00799,0.000709809,0.000709809,0.000709809
60,3243.74,1.05462,0.69348,0.00645,0.84428,0.79308,0.86232,0.61813,1.14051,1.05166,0.00774,0.000693305,0.000693305,0.000693305
61,3296.24,1.0733,0.68493,0.00625,0.79481,0.82775,0.87108,0.62857,1.1478,0.98014,0.00781,0.000676802,0.000676802,0.000676802
62,3350.25,1.04653,0.67864,0.0064,0.87061,0.75996,0.86408,0.62484,1.1257,1.18326,0.00729,0.000660299,0.000660299,0.000660299
63,3403.27,1.06662,0.67744,0.0063,0.84859,0.78672,0.85619,0.62186,1.13192,1.08032,0.00772,0.000643795,0.000643795,0.000643795
64,3457,1.04664,0.64992,0.0063,0.85,0.77999,0.86064,0.62784,1.12417,1.04184,0.00733,0.000627292,0.000627292,0.000627292
65,3510.96,1.06265,0.68028,0.00663,0.8511,0.80186,0.86931,0.62771,1.10702,1.18334,0.0073,0.000610789,0.000610789,0.000610789
66,3564.01,1.0428,0.66924,0.00626,0.82325,0.7957,0.85938,0.62332,1.09205,1.15189,0.0073,0.000594286,0.000594286,0.000594286
67,3617.89,1.02115,0.64474,0.00605,0.83862,0.81338,0.8725,0.64043,1.10826,1.08137,0.00722,0.000577782,0.000577782,0.000577782
68,3670.74,1.02527,0.65108,0.00623,0.84341,0.80791,0.87378,0.62701,1.14941,1.04138,0.00754,0.000561279,0.000561279,0.000561279
69,3724.85,1.03123,0.64275,0.00617,0.86352,0.7914,0.87474,0.64124,1.12198,1.11827,0.00741,0.000544776,0.000544776,0.000544776
70,3779.63,1.02655,0.61687,0.00597,0.86147,0.81349,0.8817,0.63777,1.12307,1.01044,0.00751,0.000528272,0.000528272,0.000528272
71,3832.53,0.99977,0.61509,0.00597,0.85029,0.78669,0.86796,0.63147,1.12334,1.08507,0.00755,0.000511769,0.000511769,0.000511769
72,3886.85,1.00247,0.60523,0.00575,0.83773,0.81123,0.87236,0.63875,1.1122,1.1155,0.00728,0.000495266,0.000495266,0.000495266
73,3939.73,1.01156,0.62204,0.00609,0.87605,0.7729,0.87564,0.62898,1.16756,1.16572,0.00781,0.000478762,0.000478762,0.000478762
74,3993.46,1.00323,0.60261,0.00574,0.89001,0.78124,0.88149,0.64172,1.11646,1.0702,0.00739,0.000462259,0.000462259,0.000462259
75,4047.95,0.99244,0.61308,0.00587,0.85341,0.81599,0.8781,0.64371,1.11066,1.1547,0.00726,0.000445756,0.000445756,0.000445756
76,4100.65,1.00491,0.6055,0.00572,0.84483,0.82219,0.87978,0.65026,1.12519,1.12944,0.00755,0.000429253,0.000429253,0.000429253
77,4154.42,0.9803,0.57742,0.00574,0.8419,0.80955,0.88119,0.64954,1.13629,1.14336,0.0077,0.000412749,0.000412749,0.000412749
78,4207.93,0.97547,0.5794,0.00565,0.86685,0.80431,0.88111,0.64793,1.11063,1.12743,0.00757,0.000396246,0.000396246,0.000396246
79,4263.97,0.96296,0.57794,0.00551,0.85039,0.8153,0.88269,0.65501,1.13646,1.07877,0.00779,0.000379743,0.000379743,0.000379743
80,4319.73,0.98342,0.56934,0.0057,0.87705,0.80886,0.8788,0.64735,1.12249,1.22003,0.00757,0.000363239,0.000363239,0.000363239
81,4378.31,0.97424,0.57175,0.00556,0.88578,0.80692,0.88242,0.6497,1.11948,1.18063,0.00739,0.000346736,0.000346736,0.000346736
82,4432.3,0.94389,0.55006,0.00544,0.88791,0.79151,0.88469,0.65773,1.09215,1.10205,0.00723,0.000330233,0.000330233,0.000330233
83,4487.09,0.94756,0.55742,0.00556,0.87168,0.8197,0.88423,0.65099,1.11164,1.18176,0.00741,0.000313729,0.000313729,0.000313729
84,4540.27,0.95426,0.54587,0.00549,0.84879,0.82463,0.87916,0.65365,1.11948,1.14324,0.00724,0.000297226,0.000297226,0.000297226
85,4594.95,0.95013,0.55001,0.00564,0.88139,0.81123,0.88858,0.65924,1.09088,1.15426,0.00697,0.000280723,0.000280723,0.000280723
86,4650.39,0.95504,0.55649,0.0056,0.8774,0.80947,0.88705,0.65999,1.08697,1.14931,0.00716,0.00026422,0.00026422,0.00026422
87,4704.46,0.93714,0.54682,0.00528,0.89511,0.79986,0.88901,0.66559,1.09402,1.12104,0.00712,0.000247716,0.000247716,0.000247716
88,4758.48,0.9329,0.54241,0.00545,0.89313,0.80847,0.89342,0.66523,1.07308,1.09551,0.00693,0.000231213,0.000231213,0.000231213
